codigo_municipio,municipio,grupo,variable,mes,menores a 1 año,de 1 a 4 años,de 5 a 14 años,de 15 a 59 años,de 60 y más años,total
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2005-08-01,0.0,0.0,0.0,0.0,1.0,1.0
71005,SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2005-09-01,0.0,0.0,1.0,0.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2005-09-01,0.0,0.0,0.0,2.0,0.0,2.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2005-09-01,0.0,0.0,0.0,2.0,0.0,2.0
71005,SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2005-10-01,0.0,0.0,0.0,3.0,0.0,3.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2005-10-01,0.0,0.0,0.0,1.0,0.0,1.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2005-10-01,0.0,0.0,1.0,0.0,0.0,1.0
71001,MONTERO,sospecha diagnostica,enfer. por hanta virus,2005-11-01,0.0,0.0,0.0,1.0,0.0,1.0
71005,SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2005-11-01,0.0,0.0,0.0,3.0,0.0,3.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2005-11-01,0.0,0.0,0.0,1.0,0.0,1.0
31601,TIRAQUE (CBBA),sospecha diagnostica,enfer. por hanta virus,2005-11-01,0.0,0.0,0.0,1.0,0.0,1.0
60202,BERMEJO,sospecha diagnostica,enfer. por hanta virus,2005-12-01,0.0,0.0,0.0,1.0,0.0,1.0
30101,COCHABAMBA,sospecha diagnostica,enfer. por hanta virus,2005-12-01,0.0,0.0,0.0,2.0,0.0,2.0
71005,SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2005-12-01,0.0,0.0,0.0,1.0,0.0,1.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2005-12-01,0.0,0.0,0.0,5.0,2.0,7.0
60202,BERMEJO,sospecha diagnostica,enfer. por hanta virus,2006-01-01,0.0,0.0,0.0,1.0,0.0,1.0
30101,COCHABAMBA,sospecha diagnostica,enfer. por hanta virus,2006-01-01,0.0,0.0,0.0,0.0,1.0,1.0
71005,SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2006-01-01,0.0,0.0,0.0,2.0,0.0,2.0
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2006-01-01,0.0,0.0,0.0,2.0,0.0,2.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2006-01-01,0.0,0.0,1.0,7.0,0.0,8.0
71001,MONTERO,sospecha diagnostica,enfer. por hanta virus,2006-02-01,0.0,0.0,0.0,1.0,0.0,1.0
71005,SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2006-02-01,0.0,0.0,0.0,1.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2006-02-01,0.0,0.0,0.0,2.0,0.0,2.0
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2006-02-01,0.0,0.0,0.0,1.0,0.0,1.0
31601,TIRAQUE (CBBA),sospecha diagnostica,enfer. por hanta virus,2006-02-01,0.0,0.0,0.0,1.0,0.0,1.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2006-02-01,0.0,0.0,0.0,4.0,0.0,4.0
30101,COCHABAMBA,sospecha diagnostica,enfer. por hanta virus,2006-03-01,0.0,0.0,0.0,1.0,0.0,1.0
71001,MONTERO,sospecha diagnostica,enfer. por hanta virus,2006-03-01,0.0,0.0,0.0,1.0,0.0,1.0
31205,PUERTO VILLARROEL,sospecha diagnostica,enfer. por hanta virus,2006-03-01,0.0,0.0,0.0,2.0,0.0,2.0
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2006-03-01,0.0,1.0,0.0,1.0,0.0,2.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2006-03-01,0.0,0.0,1.0,3.0,0.0,4.0
60202,BERMEJO,sospecha diagnostica,enfer. por hanta virus,2006-04-01,0.0,0.0,0.0,2.0,0.0,2.0
71005,SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2006-04-01,0.0,0.0,0.0,1.0,0.0,1.0
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2006-04-01,0.0,0.0,0.0,4.0,0.0,4.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2006-04-01,0.0,0.0,1.0,6.0,0.0,7.0
60202,BERMEJO,sospecha diagnostica,enfer. por hanta virus,2006-05-01,0.0,0.0,1.0,1.0,0.0,2.0
71005,SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2006-05-01,0.0,0.0,0.0,2.0,0.0,2.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2006-05-01,0.0,0.0,0.0,1.0,0.0,1.0
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2006-05-01,0.0,0.0,0.0,2.0,0.0,2.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2006-05-01,0.0,0.0,1.0,0.0,0.0,1.0
60202,BERMEJO,sospecha diagnostica,enfer. por hanta virus,2006-06-01,0.0,0.0,1.0,0.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2006-06-01,0.0,0.0,0.0,1.0,0.0,1.0
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2006-06-01,0.0,0.0,1.0,2.0,0.0,3.0
60202,BERMEJO,sospecha diagnostica,enfer. por hanta virus,2006-07-01,0.0,1.0,0.0,2.0,1.0,4.0
71001,MONTERO,sospecha diagnostica,enfer. por hanta virus,2006-07-01,0.0,0.0,0.0,1.0,0.0,1.0
71005,SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2006-07-01,0.0,0.0,0.0,1.0,0.0,1.0
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2006-07-01,0.0,1.0,0.0,0.0,0.0,1.0
60202,BERMEJO,sospecha diagnostica,enfer. por hanta virus,2006-11-01,0.0,0.0,0.0,1.0,0.0,1.0
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2006-11-01,0.0,0.0,0.0,1.0,0.0,1.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2006-11-01,0.0,0.0,0.0,1.0,0.0,1.0
60202,BERMEJO,sospecha diagnostica,enfer. por hanta virus,2006-12-01,0.0,0.0,0.0,1.0,0.0,1.0
71005,SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2006-12-01,0.0,0.0,0.0,3.0,0.0,3.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2006-12-01,0.0,0.0,3.0,0.0,0.0,3.0
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2006-12-01,0.0,0.0,0.0,1.0,0.0,1.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2006-12-01,0.0,0.0,0.0,2.0,1.0,3.0
60202,BERMEJO,sospecha diagnostica,enfer. por hanta virus,2007-01-01,0.0,0.0,0.0,3.0,0.0,3.0
71002,GENERAL SAAVEDRA,sospecha diagnostica,enfer. por hanta virus,2007-01-01,0.0,0.0,1.0,2.0,0.0,3.0
71104,SAN JULIAN,sospecha diagnostica,enfer. por hanta virus,2007-01-01,0.0,0.0,0.0,1.0,0.0,1.0
71005,SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2007-01-01,0.0,0.0,0.0,4.0,0.0,4.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2007-01-01,0.0,0.0,0.0,3.0,0.0,3.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2007-01-01,0.0,0.0,0.0,3.0,0.0,3.0
60202,BERMEJO,sospecha diagnostica,enfer. por hanta virus,2007-02-01,0.0,0.0,0.0,1.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2007-02-01,0.0,0.0,0.0,1.0,0.0,1.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2007-02-01,0.0,0.0,1.0,3.0,0.0,4.0
60202,BERMEJO,sospecha diagnostica,enfer. por hanta virus,2007-03-01,0.0,0.0,1.0,1.0,0.0,2.0
30101,COCHABAMBA,sospecha diagnostica,enfer. por hanta virus,2007-03-01,0.0,0.0,1.0,1.0,0.0,2.0
31205,PUERTO VILLARROEL,sospecha diagnostica,enfer. por hanta virus,2007-03-01,0.0,0.0,0.0,1.0,0.0,1.0
71005,SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2007-03-01,0.0,0.0,0.0,2.0,0.0,2.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2007-03-01,0.0,0.0,1.0,1.0,0.0,2.0
60202,BERMEJO,sospecha diagnostica,enfer. por hanta virus,2007-04-01,0.0,0.0,0.0,1.0,0.0,1.0
30101,COCHABAMBA,sospecha diagnostica,enfer. por hanta virus,2007-04-01,0.0,0.0,0.0,1.0,0.0,1.0
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2007-04-01,0.0,0.0,0.0,1.0,0.0,1.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2007-04-01,0.0,0.0,3.0,1.0,0.0,4.0
60202,BERMEJO,sospecha diagnostica,enfer. por hanta virus,2007-05-01,0.0,0.0,0.0,1.0,0.0,1.0
30101,COCHABAMBA,sospecha diagnostica,enfer. por hanta virus,2007-05-01,0.0,0.0,0.0,1.0,0.0,1.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2007-05-01,0.0,0.0,0.0,1.0,0.0,1.0
31003,VILLA TUNARI,sospecha diagnostica,enfer. por hanta virus,2007-06-01,0.0,0.0,0.0,0.0,1.0,1.0
60202,BERMEJO,sospecha diagnostica,enfer. por hanta virus,2007-07-01,0.0,0.0,0.0,1.0,0.0,1.0
71104,SAN JULIAN,sospecha diagnostica,enfer. por hanta virus,2007-07-01,0.0,1.0,2.0,0.0,0.0,3.0
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2007-07-01,0.0,0.0,0.0,2.0,0.0,2.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2007-08-01,0.0,0.0,0.0,2.0,0.0,2.0
70502,PAILON,sospecha diagnostica,enfer. por hanta virus,2007-09-01,0.0,0.0,0.0,1.0,0.0,1.0
71005,SAN PEDRO,sospecha diagnostica,enfer. por hanta virus,2007-09-01,0.0,0.0,0.0,1.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2007-09-01,0.0,0.0,0.0,1.0,0.0,1.0
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2007-10-01,0.0,0.0,0.0,1.0,0.0,1.0
60202,BERMEJO,sospecha diagnostica,enfer. por hanta virus,2007-11-01,0.0,0.0,1.0,0.0,0.0,1.0
70101,SANTA CRUZ DE LA SIERRA,sospecha diagnostica,enfer. por hanta virus,2007-11-01,0.0,0.0,0.0,1.0,0.0,1.0
60101,TARIJA,sospecha diagnostica,enfer. por hanta virus,2007-11-01,0.0,0.0,1.0,0.0,0.0,1.0
